x_m_local,y_m_local,z_m_terrain,height_m,crown_radius_m,asset_type,scale,yaw_degrees
2007.0,106.0,3.33,39.35,8.0,large_tree,2.459,159.245
1161.0,1480.0,3.26,39.32,8.0,large_tree,2.458,147.241
284.0,1592.0,4.99,39.3,8.0,large_tree,2.456,86.402
37.0,1479.0,3.66,39.27,8.0,large_tree,2.454,27.869
2013.0,104.0,3.7,39.2,8.0,large_tree,2.45,281.34
11.0,1402.0,2.17,39.17,8.0,large_tree,2.448,11.747
1687.0,1623.0,3.65,39.16,8.0,large_tree,2.448,212.237
1431.0,270.0,3.055,39.145,8.0,large_tree,2.447,120.678
516.0,1896.0,4.69,39.13,8.0,large_tree,2.446,299.994
516.0,1893.0,3.04,39.13,8.0,large_tree,2.446,229.186
282.0,1586.0,5.17,39.02,8.0,large_tree,2.439,312.077
30.0,1483.0,3.36,38.985,8.0,large_tree,2.437,66.951
1583.0,154.0,1.86,38.93,8.0,large_tree,2.433,189.191
1841.0,997.0,3.11,38.89,8.0,large_tree,2.431,25.093
1798.0,187.0,1.4,38.86,8.0,large_tree,2.429,315.57
1120.0,8.0,0.9,38.85,8.0,large_tree,2.428,163.84
2001.0,188.0,2.69,38.81,8.0,large_tree,2.426,119.69
1160.0,1489.0,3.85,38.8,8.0,large_tree,2.425,13.831
805.0,1673.0,3.32,38.79,8.0,large_tree,2.424,202.255
8.0,813.0,3.82,38.73,8.0,large_tree,2.421,223.265
379.0,1725.0,3.66,38.73,8.0,large_tree,2.421,39.777
369.0,1727.0,3.55,38.69,8.0,large_tree,2.418,205.696
376.0,218.0,2.61,38.69,8.0,large_tree,2.418,69.926
171.0,657.0,3.03,38.68,8.0,large_tree,2.417,99.364
1001.0,1243.0,2.445,38.665,8.0,large_tree,2.417,146.761
497.0,1271.0,3.46,38.65,8.0,large_tree,2.416,141.903
1892.0,1719.0,3.64,38.62,8.0,large_tree,2.414,284.813
66.0,237.0,2.54,38.61,8.0,large_tree,2.413,230.38
1735.0,29.0,2.17,38.61,8.0,large_tree,2.413,144.84
45.0,1484.0,3.56,38.6,8.0,large_tree,2.413,33.484
4.0,1406.0,2.34,38.59,8.0,large_tree,2.412,331.123
955.0,1340.0,2.45,38.58,8.0,large_tree,2.411,132.677
795.0,1663.0,3.03,38.54,8.0,large_tree,2.409,29.711
1798.0,521.0,2.43,38.52,8.0,large_tree,2.408,297.606
765.0,1686.0,2.01,38.5,8.0,large_tree,2.406,146.191
1819.0,507.0,2.315,38.495,8.0,large_tree,2.406,1.401
1149.0,1494.0,3.34,38.48,8.0,large_tree,2.405,306.108
701.0,1288.0,2.23,38.45,8.0,large_tree,2.403,17.572
1188.0,1789.0,3.04,38.44,8.0,large_tree,2.403,211.181
290.0,1596.0,4.93,38.43,8.0,large_tree,2.402,23.311
1823.0,1626.0,4.11,38.39,8.0,large_tree,2.399,218.274
1320.0,1149.0,2.69,38.38,8.0,large_tree,2.399,158.732
267.0,1582.0,4.26,38.37,8.0,large_tree,2.398,50.762
2006.0,568.0,3.28,38.36,8.0,large_tree,2.397,271.868
271.0,1594.0,4.6,38.33,8.0,large_tree,2.396,257.356
1994.0,583.0,3.025,38.31,8.0,large_tree,2.394,325.512
1813.0,506.0,2.37,38.24,8.0,large_tree,2.39,213.352
1678.0,770.0,2.3,38.21,8.0,large_tree,2.388,286.958
1328.0,4.0,0.805,38.195,8.0,large_tree,2.387,203.508
1270.0,822.0,2.37,38.16,8.0,large_tree,2.385,131.904
488.0,1265.0,3.7,38.15,8.0,large_tree,2.384,324.35
274.0,1584.0,4.43,38.12,8.0,large_tree,2.382,108.831
1868.0,577.0,2.15,38.11,8.0,large_tree,2.382,113.214
1659.0,51.0,0.9,38.1,8.0,large_tree,2.381,335.14
1715.0,201.0,2.06,38.07,8.0,large_tree,2.379,16.665
703.0,1282.0,2.72,38.06,8.0,large_tree,2.379,331.018
2004.0,561.0,3.18,37.97,8.0,large_tree,2.373,13.391
1858.0,995.0,3.1,37.93,8.0,large_tree,2.371,13.526
1662.0,1936.0,4.34,37.93,8.0,large_tree,2.371,285.938
1036.0,1231.0,2.46,37.9,8.0,large_tree,2.369,124.099
810.0,1672.0,3.46,37.89,8.0,large_tree,2.368,244.15
994.0,1433.0,2.76,37.84,8.0,large_tree,2.365,170.72
39.0,1409.0,3.605,37.83,8.0,large_tree,2.364,274.005
500.0,1278.0,3.46,37.82,8.0,large_tree,2.364,173.81
1159.0,1501.0,3.0,37.77,8.0,large_tree,2.361,82.01
379.0,1706.0,3.9,37.68,8.0,large_tree,2.355,249.428
44.0,1410.0,3.66,37.68,8.0,large_tree,2.355,346.015
13.0,1416.0,3.54,37.62,8.0,large_tree,2.351,6.001
42.0,1494.0,3.43,37.58,8.0,large_tree,2.349,159.511
1999.0,556.0,3.15,37.565,8.0,large_tree,2.348,234.374
160.0,1845.0,4.065,37.535,8.0,large_tree,2.346,212.42
3.0,1397.0,1.98,37.49,8.0,large_tree,2.343,156.569
99.0,1859.0,4.5,37.49,8.0,large_tree,2.343,327.711
102.0,1850.0,4.02,37.46,8.0,large_tree,2.341,339.102
1721.0,29.0,1.71,37.43,8.0,large_tree,2.339,195.195
811.0,1854.0,3.56,37.41,8.0,large_tree,2.338,46.419
1823.0,1823.0,7.35,37.4,8.0,large_tree,2.337,332.402
